Membership_Start,Membership_End_Exclusive,Source_Ticker,Price_Ticker,Company_Name,GICS_Sector,Status_As_Of_2026_07_28,Derivation,Source_URL,Local_Price_Available,Local_Price_First_Date,Local_Price_Last_Date,Local_Price_Observations,Covers_Observed_Membership_Interval
2021-07-29,,UNP,UNP,Union Pacific Corp,Industrials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,UPS,UPS,United Parcel Service Inc Class B,Industrials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,USB,USB,Us Bancorp,Financials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,V,V,Visa Inc Class A,Financials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,VZ,VZ,Verizon Communications Inc,Communication,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,2023-09-18,WBA,WBA,Walgreens Boots Alliance,Consumer Staples,Historical_Deleted,Official S&P 100 deletion announcement.,https://press.spglobal.com/2023-09-01-Blackstone-and-Airbnb-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,false,,,0,false
2021-07-29,,WFC,WFC,Wells Fargo,Financials,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,WMT,WMT,Walmart Inc,Consumer Staples,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2021-07-29,,XOM,XOM,Exxonmobil Holdings Corp,Energy,Current,Present in the 2026-07-28 S&P 100 constituent snapshot and retained when all subsequent official S&P 100 changes are reversed.,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv,true,2021-07-29,2026-07-28,1254,true
2022-03-21,,SCHW,SCHW,Charles Schwab Corp,Financials,Current,Official S&P 100 addition announcement.,https://press.spglobal.com/2022-03-04-Charles-Schwab-Set-to-Join-S-P-100-BellRing-Brands-to-Join-S-P-MidCap-400-Cerence-to-Join-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2022-09-19,,AMD,AMD,Advanced Micro Devices Inc,Information Technology,Current,Official S&P 100 addition announcement.,https://press.spglobal.com/2022-09-02-CoStar-Group%2C-Invitation-Homes-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2023-09-18,,DE,DE,Deere,Industrials,Current,Official S&P 100 addition announcement.,https://press.spglobal.com/2023-09-01-Blackstone-and-Airbnb-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2024-03-18,,INTU,INTU,Intuit Inc,Information Technology,Current,Official S&P 100 addition announcement.,https://press.spglobal.com/2024-03-01-Super-Micro-Computer-and-Deckers-Outdoor-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2025-03-24,,ISRG,ISRG,Intuitive Surgical Inc,Health Care,Current,Official S&P 100 addition announcement.,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2025-03-24,,NOW,NOW,Servicenow Inc,Information Technology,Current,Official S&P 100 addition announcement.,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2025-03-24,,PLTR,PLTR,Palantir Technologies Inc Class A,Information Technology,Current,Official S&P 100 addition announcement.,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2025-09-22,,UBER,UBER,Uber Technologies Inc,Industrials,Current,Official S&P 100 addition announcement.,https://press.spglobal.com/2025-09-05-AppLovin%2C-Robinhood-Markets-and-Emcor-Group-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2026-03-23,,AMAT,AMAT,Applied Material Inc,Information Technology,Current,Official S&P 100 addition announcement.,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2026-03-23,,GEV,GEV,Ge Vernova Inc,Industrials,Current,Official S&P 100 addition announcement.,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,false,,,0,false
2026-03-23,,LRCX,LRCX,Lam Research Corp,Information Technology,Current,Official S&P 100 addition announcement.,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2026-03-23,,MU,MU,Micron Technology Inc,Information Technology,Current,Official S&P 100 addition announcement.,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,true,2021-07-29,2026-07-28,1254,true
2026-06-29,,HONA,HONA,Honeywell Aerospace Inc,Industrials,Current,Official S&P 100 addition announcement.,https://press.spglobal.com/2026-06-23-Honeywell-Aerospace-Set-to-Join-S-P-500-S-P-100-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,false,,,0,false
